,time,rank,artist,song,sales
0,02/22/2017 16:12,100,The Chainsmokers & Coldplay,Something Just Like This,1206
1,02/22/2017 16:30,17,The Chainsmokers & Coldplay,Something Just Like This,5342
2,02/22/2017 16:31,17,The Chainsmokers & Coldplay,Something Just Like This,5342
3,02/22/2017 17:01,17,The Chainsmokers & Coldplay,Something Just Like This,5354
4,02/22/2017 17:31,17,The Chainsmokers & Coldplay,Something Just Like This,5355
5,02/22/2017 18:01,17,The Chainsmokers & Coldplay,Something Just Like This,5356
6,02/22/2017 18:32,8,The Chainsmokers & Coldplay,Something Just Like This,7888
7,02/22/2017 19:02,8,The Chainsmokers & Coldplay,Something Just Like This,7907
8,02/22/2017 19:32,8,The Chainsmokers & Coldplay,Something Just Like This,7909
9,02/22/2017 20:54,6,The Chainsmokers & Coldplay,Something Just Like This,9751
10,02/22/2017 21:24,6,The Chainsmokers & Coldplay,Something Just Like This,9753
11,02/22/2017 21:54,6,The Chainsmokers & Coldplay,Something Just Like This,9910
12,02/22/2017 22:24,6,The Chainsmokers & Coldplay,Something Just Like This,9979
13,02/22/2017 22:54,6,The Chainsmokers & Coldplay,Something Just Like This,9981
14,02/22/2017 23:24,6,The Chainsmokers & Coldplay,Something Just Like This,9983
15,02/22/2017 23:54,4,The Chainsmokers & Coldplay,Something Just Like This,11163
16,02/23/2017 00:24,4,The Chainsmokers & Coldplay,Something Just Like This,11166
17,02/23/2017 00:54,4,The Chainsmokers & Coldplay,Something Just Like This,11168
18,02/23/2017 01:24,4,The Chainsmokers & Coldplay,Something Just Like This,11171
19,02/23/2017 01:54,4,The Chainsmokers & Coldplay,Something Just Like This,11173
20,02/23/2017 02:24,3,The Chainsmokers & Coldplay,Something Just Like This,11689
21,02/23/2017 02:54,3,The Chainsmokers & Coldplay,Something Just Like This,11692
22,02/23/2017 03:24,3,The Chainsmokers & Coldplay,Something Just Like This,11695
23,02/23/2017 03:54,3,The Chainsmokers & Coldplay,Something Just Like This,11698
24,02/23/2017 04:24,2,The Chainsmokers & Coldplay,Something Just Like This,12547
25,02/23/2017 04:54,2,The Chainsmokers & Coldplay,Something Just Like This,12440
26,02/23/2017 05:25,2,The Chainsmokers & Coldplay,Something Just Like This,15606
27,02/23/2017 05:55,2,The Chainsmokers & Coldplay,Something Just Like This,15610
28,02/23/2017 06:25,2,The Chainsmokers & Coldplay,Something Just Like This,15615
29,02/23/2017 06:55,2,The Chainsmokers & Coldplay,Something Just Like This,14846
30,02/23/2017 07:25,2,The Chainsmokers & Coldplay,Something Just Like This,14851
31,02/23/2017 07:55,2,The Chainsmokers & Coldplay,Something Just Like This,15020
32,02/23/2017 08:25,2,The Chainsmokers & Coldplay,Something Just Like This,15025
33,02/23/2017 08:55,2,The Chainsmokers & Coldplay,Something Just Like This,15031
34,02/23/2017 09:25,2,The Chainsmokers & Coldplay,Something Just Like This,19377
35,02/23/2017 09:55,2,The Chainsmokers & Coldplay,Something Just Like This,19385
