,time,rank,artist,song,sales
0,03/03/2017 08:45,1,Ed Sheeran,Shape of You,25970
1,03/03/2017 08:45,35,Ed Sheeran,Perfect,4099
2,03/03/2017 08:45,42,Ed Sheeran,Dive,3547
3,03/03/2017 08:45,61,Ed Sheeran,Castle on the Hill,2476
4,03/03/2017 08:45,64,Ed Sheeran,Happier,2409
5,03/03/2017 08:45,76,Ed Sheeran,Galway Girl,2197
6,03/03/2017 08:45,85,Ed Sheeran,How Would You Feel (Paean),1953
7,03/03/2017 08:45,94,Ed Sheeran,Supermarket Flowers,1699
8,03/03/2017 08:45,95,Ed Sheeran,Save Myself,1645
9,03/03/2017 08:45,96,Ed Sheeran,New Man,1601
10,03/03/2017 08:45,98,Ed Sheeran,Eraser,1385
11,03/03/2017 08:45,99,Ed Sheeran,Hearts Don't Break Around Here,1306
12,03/03/2017 08:45,100,Ed Sheeran,What Do I Know?,1262
13,03/03/2017 08:47,1,Ed Sheeran,Shape of You,25970
14,03/03/2017 08:47,35,Ed Sheeran,Perfect,4099
15,03/03/2017 08:47,42,Ed Sheeran,Dive,3547
16,03/03/2017 08:47,61,Ed Sheeran,Castle on the Hill,2476
17,03/03/2017 08:47,64,Ed Sheeran,Happier,2409
18,03/03/2017 08:47,76,Ed Sheeran,Galway Girl,2197
19,03/03/2017 08:47,85,Ed Sheeran,How Would You Feel (Paean),1953
20,03/03/2017 08:47,94,Ed Sheeran,Supermarket Flowers,1699
21,03/03/2017 08:47,95,Ed Sheeran,Save Myself,1645
22,03/03/2017 08:47,96,Ed Sheeran,New Man,1601
23,03/03/2017 08:47,98,Ed Sheeran,Eraser,1385
24,03/03/2017 08:47,99,Ed Sheeran,Hearts Don't Break Around Here,1306
25,03/03/2017 08:47,100,Ed Sheeran,What Do I Know?,1262
26,03/03/2017 09:22,1,Ed Sheeran,Shape of You,20594
27,03/03/2017 09:22,20,Ed Sheeran,Perfect,4643
28,03/03/2017 09:22,24,Ed Sheeran,Dive,3970
29,03/03/2017 09:22,43,Ed Sheeran,Happier,2818
30,03/03/2017 09:22,47,Ed Sheeran,Galway Girl,2521
31,03/03/2017 09:22,59,Ed Sheeran,Castle on the Hill,2041
32,03/03/2017 09:22,63,Ed Sheeran,Supermarket Flowers,1941
33,03/03/2017 09:22,71,Ed Sheeran,Save Myself,1790
34,03/03/2017 09:22,72,Ed Sheeran,New Man,1787
35,03/03/2017 09:22,76,Ed Sheeran,How Would You Feel (Paean),1757
36,03/03/2017 09:22,87,Ed Sheeran,Eraser,1513
37,03/03/2017 09:22,90,Ed Sheeran,Hearts Don't Break Around Here,1466
38,03/03/2017 09:22,98,Ed Sheeran,What Do I Know?,1350
39,03/03/2017 09:22,100,Ed Sheeran,Barcelona,1265
40,03/03/2017 10:29,1,Ed Sheeran,Shape of You,20667
41,03/03/2017 10:29,20,Ed Sheeran,Perfect,4660
42,03/03/2017 10:29,24,Ed Sheeran,Dive,3984
43,03/03/2017 10:29,43,Ed Sheeran,Happier,2828
44,03/03/2017 10:29,47,Ed Sheeran,Galway Girl,2530
45,03/03/2017 10:29,59,Ed Sheeran,Castle on the Hill,2049
46,03/03/2017 10:29,63,Ed Sheeran,Supermarket Flowers,1948
47,03/03/2017 10:29,71,Ed Sheeran,Save Myself,1796
48,03/03/2017 10:29,72,Ed Sheeran,New Man,1794
49,03/03/2017 10:29,76,Ed Sheeran,How Would You Feel (Paean),1763
50,03/03/2017 10:29,87,Ed Sheeran,Eraser,1519
51,03/03/2017 10:29,90,Ed Sheeran,Hearts Don't Break Around Here,1471
52,03/03/2017 10:29,98,Ed Sheeran,What Do I Know?,1355
53,03/03/2017 10:29,100,Ed Sheeran,Barcelona,1269
54,03/03/2017 10:59,1,Ed Sheeran,Shape of You,20701
55,03/03/2017 10:59,20,Ed Sheeran,Perfect,4667
56,03/03/2017 10:59,24,Ed Sheeran,Dive,3990
57,03/03/2017 10:59,43,Ed Sheeran,Happier,2833
58,03/03/2017 10:59,47,Ed Sheeran,Galway Girl,2535
59,03/03/2017 10:59,59,Ed Sheeran,Castle on the Hill,2052
60,03/03/2017 10:59,63,Ed Sheeran,Supermarket Flowers,1951
61,03/03/2017 10:59,71,Ed Sheeran,Save Myself,1799
62,03/03/2017 10:59,72,Ed Sheeran,New Man,1797
63,03/03/2017 10:59,76,Ed Sheeran,How Would You Feel (Paean),1766
64,03/03/2017 10:59,87,Ed Sheeran,Eraser,1521
65,03/03/2017 10:59,90,Ed Sheeran,Hearts Don't Break Around Here,1473
66,03/03/2017 10:59,98,Ed Sheeran,What Do I Know?,1357
67,03/03/2017 10:59,100,Ed Sheeran,Barcelona,1271
68,03/03/2017 11:29,1,Ed Sheeran,Shape of You,20737
69,03/03/2017 11:29,20,Ed Sheeran,Perfect,4675
70,03/03/2017 11:29,24,Ed Sheeran,Dive,3997
71,03/03/2017 11:29,43,Ed Sheeran,Happier,2838
72,03/03/2017 11:29,47,Ed Sheeran,Galway Girl,2539
73,03/03/2017 11:29,59,Ed Sheeran,Castle on the Hill,2055
74,03/03/2017 11:29,63,Ed Sheeran,Supermarket Flowers,1954
75,03/03/2017 11:29,71,Ed Sheeran,Save Myself,1802
76,03/03/2017 11:29,72,Ed Sheeran,New Man,1800
77,03/03/2017 11:29,76,Ed Sheeran,How Would You Feel (Paean),1769
78,03/03/2017 11:29,87,Ed Sheeran,Eraser,1524
79,03/03/2017 11:29,90,Ed Sheeran,Hearts Don't Break Around Here,1476
80,03/03/2017 11:29,98,Ed Sheeran,What Do I Know?,1359
81,03/03/2017 11:29,100,Ed Sheeran,Barcelona,1273
82,03/03/2017 11:59,1,Ed Sheeran,Shape of You,20773
83,03/03/2017 11:59,20,Ed Sheeran,Perfect,4684
84,03/03/2017 11:59,24,Ed Sheeran,Dive,4004
85,03/03/2017 11:59,43,Ed Sheeran,Happier,2843
86,03/03/2017 11:59,47,Ed Sheeran,Galway Girl,2543
87,03/03/2017 11:59,59,Ed Sheeran,Castle on the Hill,2059
88,03/03/2017 11:59,63,Ed Sheeran,Supermarket Flowers,1958
89,03/03/2017 11:59,71,Ed Sheeran,Save Myself,1805
90,03/03/2017 11:59,72,Ed Sheeran,New Man,1803
91,03/03/2017 11:59,76,Ed Sheeran,How Would You Feel (Paean),1773
92,03/03/2017 11:59,87,Ed Sheeran,Eraser,1527
93,03/03/2017 11:59,90,Ed Sheeran,Hearts Don't Break Around Here,1478
94,03/03/2017 11:59,98,Ed Sheeran,What Do I Know?,1362
95,03/03/2017 11:59,100,Ed Sheeran,Barcelona,1276
96,03/03/2017 12:29,1,Ed Sheeran,Shape of You,20852
97,03/03/2017 12:29,14,Ed Sheeran,Perfect,5529
98,03/03/2017 12:29,21,Ed Sheeran,Dive,4780
99,03/03/2017 12:29,32,Ed Sheeran,Happier,3378
100,03/03/2017 12:29,39,Ed Sheeran,Galway Girl,3019
101,03/03/2017 12:29,52,Ed Sheeran,Supermarket Flowers,2337
102,03/03/2017 12:29,54,Ed Sheeran,Castle on the Hill,2161
103,03/03/2017 12:29,59,Ed Sheeran,Save Myself,2131
104,03/03/2017 12:29,61,Ed Sheeran,New Man,2092
105,03/03/2017 12:29,67,Ed Sheeran,How Would You Feel (Paean),1879
106,03/03/2017 12:29,78,Ed Sheeran,Hearts Don't Break Around Here,1695
107,03/03/2017 12:29,79,Ed Sheeran,Eraser,1695
108,03/03/2017 12:29,89,Ed Sheeran,What Do I Know?,1553
109,03/03/2017 12:29,91,Ed Sheeran,Barcelona,1476
110,03/03/2017 12:29,100,Ed Sheeran,Bibia Be Ye Ye,1278
111,03/03/2017 12:59,1,Ed Sheeran,Shape of You,20891
112,03/03/2017 12:59,14,Ed Sheeran,Perfect,5539
113,03/03/2017 12:59,21,Ed Sheeran,Dive,4789
114,03/03/2017 12:59,32,Ed Sheeran,Happier,3384
115,03/03/2017 12:59,39,Ed Sheeran,Galway Girl,3025
116,03/03/2017 12:59,52,Ed Sheeran,Supermarket Flowers,2341
117,03/03/2017 12:59,54,Ed Sheeran,Castle on the Hill,2165
118,03/03/2017 12:59,59,Ed Sheeran,Save Myself,2134
119,03/03/2017 12:59,61,Ed Sheeran,New Man,2096
120,03/03/2017 12:59,67,Ed Sheeran,How Would You Feel (Paean),1882
121,03/03/2017 12:59,78,Ed Sheeran,Hearts Don't Break Around Here,1698
122,03/03/2017 12:59,79,Ed Sheeran,Eraser,1698
123,03/03/2017 12:59,89,Ed Sheeran,What Do I Know?,1556
124,03/03/2017 12:59,91,Ed Sheeran,Barcelona,1479
125,03/03/2017 12:59,100,Ed Sheeran,Bibia Be Ye Ye,1280
126,03/03/2017 13:29,1,Ed Sheeran,Shape of You,20931
127,03/03/2017 13:29,14,Ed Sheeran,Perfect,5550
128,03/03/2017 13:29,21,Ed Sheeran,Dive,4798
129,03/03/2017 13:29,32,Ed Sheeran,Happier,3391
130,03/03/2017 13:29,39,Ed Sheeran,Galway Girl,3030
131,03/03/2017 13:29,52,Ed Sheeran,Supermarket Flowers,2346
132,03/03/2017 13:29,54,Ed Sheeran,Castle on the Hill,2169
133,03/03/2017 13:29,59,Ed Sheeran,Save Myself,2139
134,03/03/2017 13:29,61,Ed Sheeran,New Man,2100
135,03/03/2017 13:29,67,Ed Sheeran,How Would You Feel (Paean),1886
136,03/03/2017 13:29,78,Ed Sheeran,Hearts Don't Break Around Here,1702
