,time,rank,artist,song,sales
0,02/26/2017 22:11,92.0,Ryan Gosling & Emma Stone,City of Stars,2674.0
1,02/26/2017 22:11,99.0,John Legend,Love Me Now,2552.0
2,02/26/2017 22:11,100.0,Emma Stone,Audition (The Fools Who Dream),1320.0
3,02/26/2017 22:16,92.0,Ryan Gosling & Emma Stone,City of Stars,2673.0
4,02/26/2017 22:16,99.0,John Legend,Love Me Now,2551.0
5,02/26/2017 22:16,100.0,Emma Stone,Audition (The Fools Who Dream),1319.0
6,02/26/2017 22:48,92.0,Ryan Gosling & Emma Stone,City of Stars,2666.0
7,02/26/2017 22:48,99.0,John Legend,Love Me Now,2544.0
8,02/26/2017 22:48,100.0,Emma Stone,Audition (The Fools Who Dream),1316.0
9,02/26/2017 23:18,47.0,Ryan Gosling & Emma Stone,City of Stars,2581.0
10,02/26/2017 23:18,78.0,Emma Stone,Audition (The Fools Who Dream),1615.0
11,02/26/2017 23:18,95.0,John Legend,Love Me Now,1362.0
12,02/26/2017 23:48,47.0,Ryan Gosling & Emma Stone,City of Stars,2574.0
13,02/26/2017 23:48,78.0,Emma Stone,Audition (The Fools Who Dream),1611.0
14,02/26/2017 23:48,95.0,John Legend,Love Me Now,1358.0
15,02/27/2017 00:18,47.0,Ryan Gosling & Emma Stone,City of Stars,2573.0
16,02/27/2017 00:18,78.0,Emma Stone,Audition (The Fools Who Dream),1611.0
17,02/27/2017 00:18,96.0,John Legend,Love Me Now,1358.0
18,02/27/2017 00:48,47.0,Ryan Gosling & Emma Stone,City of Stars,2567.0
19,02/27/2017 00:48,78.0,Emma Stone,Audition (The Fools Who Dream),1607.0
20,02/27/2017 00:48,96.0,John Legend,Love Me Now,1354.0
21,02/27/2017 01:18,47.0,Ryan Gosling & Emma Stone,City of Stars,2561.0
22,02/27/2017 01:18,78.0,Emma Stone,Audition (The Fools Who Dream),1603.0
23,02/27/2017 01:18,96.0,John Legend,Love Me Now,1351.0
24,02/27/2017 01:48,47.0,Ryan Gosling & Emma Stone,City of Stars,2555.0
25,02/27/2017 01:48,78.0,Emma Stone,Audition (The Fools Who Dream),1600.0
26,02/27/2017 01:48,96.0,John Legend,Love Me Now,1348.0
27,02/27/2017 02:18,44.0,Ryan Gosling & Emma Stone,City of Stars,2726.0
28,02/27/2017 02:18,75.0,Emma Stone,Audition (The Fools Who Dream),1712.0
29,02/27/2017 02:18,96.0,John Legend,Love Me Now,1392.0
30,02/27/2017 02:48,44.0,Ryan Gosling & Emma Stone,City of Stars,2721.0
31,02/27/2017 02:48,75.0,Emma Stone,Audition (The Fools Who Dream),1709.0
32,02/27/2017 02:48,96.0,John Legend,Love Me Now,1389.0
33,02/27/2017 03:18,44.0,Ryan Gosling & Emma Stone,City of Stars,2590.0
34,02/27/2017 03:18,75.0,Emma Stone,Audition (The Fools Who Dream),1627.0
35,02/27/2017 03:18,96.0,John Legend,Love Me Now,1322.0
36,02/27/2017 03:48,44.0,Ryan Gosling & Emma Stone,City of Stars,2709.0
37,02/27/2017 03:48,75.0,Emma Stone,Audition (The Fools Who Dream),1702.0
38,02/27/2017 03:48,96.0,John Legend,Love Me Now,1383.0
39,02/27/2017 04:18,44.0,Ryan Gosling & Emma Stone,City of Stars,2704.0
40,02/27/2017 04:18,75.0,Emma Stone,Audition (The Fools Who Dream),1698.0
41,02/27/2017 04:18,96.0,John Legend,Love Me Now,1381.0
42,02/27/2017 04:48,42.0,Ryan Gosling & Emma Stone,City of Stars,2630.0
43,02/27/2017 04:48,70.0,Emma Stone,Audition (The Fools Who Dream),1684.0
44,02/27/2017 04:48,96.0,John Legend,Love Me Now,1314.0
45,02/27/2017 05:18,42.0,Ryan Gosling & Emma Stone,City of Stars,2625.0
46,02/27/2017 05:18,70.0,Emma Stone,Audition (The Fools Who Dream),1681.0
47,02/27/2017 05:18,96.0,John Legend,Love Me Now,1311.0
48,02/27/2017 05:48,42.0,Ryan Gosling & Emma Stone,City of Stars,2620.0
49,02/27/2017 05:48,70.0,Emma Stone,Audition (The Fools Who Dream),1678.0
50,02/27/2017 05:48,96.0,John Legend,Love Me Now,1309.0
51,02/27/2017 06:18,42.0,Ryan Gosling & Emma Stone,City of Stars,2704.0
52,02/27/2017 06:18,70.0,Emma Stone,Audition (The Fools Who Dream),1732.0
53,02/27/2017 06:18,96.0,John Legend,Love Me Now,1351.0
54,02/27/2017 06:48,42.0,Ryan Gosling & Emma Stone,City of Stars,2700.0
55,02/27/2017 06:48,70.0,Emma Stone,Audition (The Fools Who Dream),1729.0
56,02/27/2017 06:48,96.0,John Legend,Love Me Now,1349.0
57,02/27/2017 08:08,38.0,Ryan Gosling & Emma Stone,City of Stars,2823.0
58,02/27/2017 08:08,67.0,Emma Stone,Audition (The Fools Who Dream),1823.0
59,02/27/2017 08:08,92.0,John Legend,Love Me Now,1318.0
60,02/27/2017 08:38,38.0,Ryan Gosling & Emma Stone,City of Stars,3350.0
61,02/27/2017 08:38,67.0,Emma Stone,Audition (The Fools Who Dream),2163.0
62,02/27/2017 08:38,92.0,John Legend,Love Me Now,1564.0
63,02/27/2017 09:08,38.0,Ryan Gosling & Emma Stone,City of Stars,3345.0
64,02/27/2017 09:08,67.0,Emma Stone,Audition (The Fools Who Dream),2160.0
65,02/27/2017 09:08,92.0,John Legend,Love Me Now,1562.0
66,02/27/2017 09:38,37.0,Ryan Gosling & Emma Stone,City of Stars,3013.0
67,02/27/2017 09:38,59.0,Emma Stone,Audition (The Fools Who Dream),1976.0
68,02/27/2017 09:38,94.0,John Legend,Love Me Now,1298.0
69,02/27/2017 10:08,37.0,Ryan Gosling & Emma Stone,City of Stars,2976.0
70,02/27/2017 10:08,59.0,Emma Stone,Audition (The Fools Who Dream),1952.0
71,02/27/2017 10:08,94.0,John Legend,Love Me Now,1282.0
72,02/27/2017 10:38,37.0,Ryan Gosling & Emma Stone,City of Stars,3005.0
73,02/27/2017 10:38,59.0,Emma Stone,Audition (The Fools Who Dream),1971.0
74,02/27/2017 10:38,94.0,John Legend,Love Me Now,1294.0
75,02/27/2017 11:08,37.0,Ryan Gosling & Emma Stone,City of Stars,3001.0
76,02/27/2017 11:08,59.0,Emma Stone,Audition (The Fools Who Dream),1968.0
77,02/27/2017 11:08,94.0,John Legend,Love Me Now,1293.0
78,02/27/2017 11:38,37.0,Ryan Gosling & Emma Stone,City of Stars,2997.0
79,02/27/2017 11:38,59.0,Emma Stone,Audition (The Fools Who Dream),1965.0
80,02/27/2017 11:38,94.0,John Legend,Love Me Now,1291.0
81,02/27/2017 12:08,36.0,Ryan Gosling & Emma Stone,City of Stars,3029.0
82,02/27/2017 12:08,58.0,Emma Stone,Audition (The Fools Who Dream),1971.0
83,02/27/2017 12:08,100.0,John Legend,Love Me Now,1252.0
84,02/27/2017 12:38,36.0,Ryan Gosling & Emma Stone,City of Stars,3075.0
85,02/27/2017 12:38,58.0,Emma Stone,Audition (The Fools Who Dream),2001.0
86,02/27/2017 13:08,36.0,Ryan Gosling & Emma Stone,City of Stars,3071.0
87,02/27/2017 13:08,58.0,Emma Stone,Audition (The Fools Who Dream),1999.0
88,02/27/2017 13:38,36.0,Ryan Gosling & Emma Stone,City of Stars,3055.0
89,02/27/2017 13:38,61.0,Emma Stone,Audition (The Fools Who Dream),1985.0
