,time,rank,artist,song,sales
0,02/13/2017 21:51,1,Ed Sheeran,Shape of You,32279
1,02/13/2017 21:51,2,ZAYN & Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),21794
2,02/13/2017 21:51,3,Katy Perry,Chained to the Rhythm (feat. Skip Marley),20513
3,02/13/2017 21:51,4,Bruno Mars,That’s What I Like,18882
4,02/13/2017 21:51,5,Keith Urban,The Fighter (feat. Carrie Underwood),12562
5,02/13/2017 21:51,10,Lukas Graham,7 Years,7274
6,02/13/2017 21:51,15,The Chainsmokers,Paris,5997
7,02/13/2017 21:51,20,Shawn Mendes,Mercy,4973
8,02/13/2017 21:51,30,Julia Michaels,Issues,3720
9,02/13/2017 21:51,40,Niall Horan,This Town,3073
10,02/13/2017 21:51,50,Halsey,Not Afraid Anymore,2750
11,02/13/2017 21:51,60,Imagine Dragons,Believer,2415
12,02/13/2017 21:51,70,Beyoncé,Hold Up,1982
13,02/13/2017 21:51,80,Beyoncé,All Night,1742
14,02/13/2017 21:51,90,Ed Sheeran,Thinking Out Loud,1576
15,02/13/2017 21:51,100,Adam Friedman,What If,1229
16,02/13/2017 22:04,1,Ed Sheeran,Shape of You,32269
17,02/13/2017 22:04,2,ZAYN & Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),21787
18,02/13/2017 22:04,3,Katy Perry,Chained to the Rhythm (feat. Skip Marley),20507
19,02/13/2017 22:04,4,Bruno Mars,That’s What I Like,18876
20,02/13/2017 22:04,5,Keith Urban,The Fighter (feat. Carrie Underwood),12558
21,02/13/2017 22:04,10,Lukas Graham,7 Years,7271
22,02/13/2017 22:04,15,The Chainsmokers,Paris,5995
23,02/13/2017 22:04,20,Shawn Mendes,Mercy,4971
24,02/13/2017 22:04,30,Julia Michaels,Issues,3718
25,02/13/2017 22:04,40,Niall Horan,This Town,3072
26,02/13/2017 22:04,50,Halsey,Not Afraid Anymore,2749
27,02/13/2017 22:04,60,Imagine Dragons,Believer,2415
28,02/13/2017 22:04,70,Beyoncé,Hold Up,1981
29,02/13/2017 22:04,80,Beyoncé,All Night,1741
30,02/13/2017 22:04,90,Ed Sheeran,Thinking Out Loud,1576
31,02/13/2017 22:04,100,Adam Friedman,What If,1229
32,02/13/2017 23:15,1,Ed Sheeran,Shape of You,27844
33,02/13/2017 23:15,2,ZAYN & Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),18952
34,02/13/2017 23:15,3,Katy Perry,Chained to the Rhythm (feat. Skip Marley),17732
35,02/13/2017 23:15,4,Bruno Mars,That’s What I Like,16308
36,02/13/2017 23:15,5,Keith Urban,The Fighter (feat. Carrie Underwood),10822
37,02/13/2017 23:15,10,Lukas Graham,7 Years,6247
38,02/13/2017 23:15,15,The Chainsmokers,Paris,5217
39,02/13/2017 23:15,20,Shawn Mendes,Mercy,4323
40,02/13/2017 23:15,30,Julia Michaels,Issues,3266
41,02/13/2017 23:15,40,Niall Horan,This Town,2672
42,02/13/2017 23:15,50,Halsey,Not Afraid Anymore,2396
43,02/13/2017 23:15,60,Imagine Dragons,Believer,2131
44,02/13/2017 23:15,70,Beyoncé,Hold Up,1757
45,02/13/2017 23:15,80,Adam Friedman,What If,1550
46,02/13/2017 23:15,90,Migos,T-Shirt,1394
47,02/13/2017 23:15,100,D.R.A.M.,Broccoli (feat. Lil Yachty),1227
48,02/14/2017 00:01,1,Ed Sheeran,Shape of You,29975
49,02/14/2017 00:01,2,ZAYN & Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),20403
50,02/14/2017 00:01,3,Katy Perry,Chained to the Rhythm (feat. Skip Marley),19089
51,02/14/2017 00:01,4,Bruno Mars,That’s What I Like,17556
52,02/14/2017 00:01,5,Keith Urban,The Fighter (feat. Carrie Underwood),11650
53,02/14/2017 00:01,10,Lukas Graham,7 Years,6725
54,02/14/2017 00:01,15,The Chainsmokers,Paris,5617
55,02/14/2017 00:01,20,Shawn Mendes,Mercy,4654
56,02/14/2017 00:01,30,Julia Michaels,Issues,3516
57,02/14/2017 00:01,40,Niall Horan,This Town,2876
58,02/14/2017 00:01,50,Halsey,Not Afraid Anymore,2580
59,02/14/2017 00:01,60,Imagine Dragons,Believer,2294
60,02/14/2017 00:01,70,Beyoncé,Hold Up,1892
61,02/14/2017 00:01,80,Adam Friedman,What If,1669
62,02/14/2017 00:01,90,Migos,T-Shirt,1500
63,02/14/2017 00:01,100,Erika Jayne,Xxpen$ive,1226
64,02/14/2017 02:06,1,Ed Sheeran,Shape of You,28296
65,02/14/2017 02:06,2,ZAYN & Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),19367
66,02/14/2017 02:06,3,Katy Perry,Chained to the Rhythm (feat. Skip Marley),18020
67,02/14/2017 02:06,4,Bruno Mars,That’s What I Like,16590
68,02/14/2017 02:06,5,Keith Urban,The Fighter (feat. Carrie Underwood),10946
69,02/14/2017 02:06,10,Lukas Graham,7 Years,6338
70,02/14/2017 02:06,15,The Chainsmokers,Paris,5323
71,02/14/2017 02:06,20,Shawn Mendes,Mercy,4404
